Willingness,year,gender,resources
5,2017,Female,Some
4,2017,Male,None
5,2017,Male,None
10,2017,Male,None
10,2017,Female,None
5,2017,Male,Some
8,2017,Female,None
3,2017,Female,None
6,2017,Male,None
4,2017,Male,Some
2,2017,Male,None
10,2017,Male,Some
5,2017,Male,None
3,2017,Female,None
8,2017,Female,Some
9,2017,Male,None
10,2017,Male,None
6,2017,Male,None
8,2017,Male,None
7,2017,Female,None
3,2017,Male,None
6,2017,Male,None
10,2017,Female,None
5,2017,Male,None
5,2017,Male,None
5,2017,Male,None
8,2017,Female,All
4,2017,Female,None
9,2017,Male,Some
7,2017,Male,None
7,2017,Female,None
10,2017,Male,None
6,2017,Male,None
5,2017,Other,None
10,2017,Female,None
5,2017,Female,None
8,2017,Male,None
7,2017,Male,None
3,2017,Other,None
8,2017,Male,None
6,2017,Male,None
1,2017,Male,None
4,2017,Male,All
8,2017,Male,All
7,2017,Male,Some
6,2017,Male,None
9,2017,Female,None
10,2017,Female,None
2,2017,Female,None
10,2017,Male,Some
10,2017,Female,None
10,2017,Other,None
6,2017,Female,None
6,2017,Male,Some
5,2017,Male,None
7,2017,Male,None
0,2017,Male,None
5,2017,Male,None
9,2017,Female,None
7,2017,Male,Some
1,2017,Female,None
8,2017,Female,Some
7,2017,Male,None
7,2017,Male,None
4,2017,Female,All
2,2017,Male,None
10,2017,Female,None
3,2017,Female,Some
6,2017,Male,Some
4,2017,Male,None
5,2017,Male,None
5,2017,Male,Some
8,2017,Male,None
5,2017,Other,None
7,2017,Female,None
2,2017,Female,All
8,2017,Female,None
2,2017,Male,None
3,2017,Male,None
5,2017,Female,All
8,2017,Other,Some
10,2017,Male,Some
4,2017,Male,None
7,2017,Male,Some
7,2017,Male,Some
7,2017,Male,Some
1,2017,Male,None
8,2017,Female,Some
8,2017,Male,Some
1,2017,Male,None
4,2017,Female,None
3,2017,Male,None
6,2017,Female,None
0,2017,Male,None
8,2017,Female,Some
3,2017,Male,None
0,2017,Male,None
5,2017,Male,None
10,2017,Male,None
10,2017,Female,None
8,2017,Male,None
3,2017,Female,None
8,2017,Male,None
10,2017,Male,None
3,2017,Female,None
9,2017,Male,Some
0,2017,Female,None
4,2017,Female,None
8,2017,Male,Some
5,2017,Other,None
10,2017,Male,Some
5,2017,Male,None
10,2017,Male,None
8,2017,Female,None
4,2017,Male,Some
6,2017,Female,None
8,2017,Female,Some
3,2017,Female,All
7,2017,Male,None
3,2017,Male,Some
6,2017,Male,Some
7,2017,Male,Some
3,2017,Male,All
10,2017,Male,None
7,2017,Other,None
8,2017,Female,None
6,2017,Male,None
8,2017,Other,Some
5,2017,Female,Some
3,2017,Male,None
6,2017,Female,None
8,2017,Male,None
7,2017,Male,None
0,2017,Female,None
10,2017,Female,None
3,2017,Male,None
1,2017,Female,None
9,2017,Male,None
5,2017,Male,None
7,2017,Male,None
7,2017,Male,All
7,2017,Male,None
10,2017,Other,None
8,2017,Male,Some
4,2017,Male,None
10,2017,Male,None
10,2017,Male,None
6,2017,Male,None
9,2017,Male,None
2,2017,Male,None
3,2017,Male,None
8,2017,Male,None
7,2017,Female,None
7,2017,Female,Some
3,2017,Male,Some
7,2017,Female,Some
9,2017,Male,None
9,2017,Female,Some
4,2017,Female,None
5,2017,Female,None
6,2017,Female,None
10,2017,Female,None
7,2017,Female,Some
9,2017,Female,Some
9,2017,Male,None
7,2017,Male,None
7,2017,Female,None
5,2017,Female,Some
5,2017,Male,None
7,2017,Female,None
10,2017,Female,None
4,2017,Male,All
7,2017,Male,None
8,2017,Male,None
10,2017,Other,None
8,2017,Female,None
9,2017,Male,Some
7,2017,Male,Some
6,2017,Male,None
1,2017,Male,None
5,2017,Male,None
8,2017,Male,None
0,2017,Male,Some
10,2017,Male,None
0,2017,Male,None
3,2017,Male,Some
3,2017,Female,None
6,2017,Male,None
8,2017,Male,None
4,2017,Male,None
6,2017,Male,None
9,2017,Female,All
5,2017,Female,None
6,2017,Male,Some
5,2017,Male,None
2,2017,Male,None
10,2017,Female,Some
10,2017,Male,Some
6,2017,Female,Some
3,2017,Male,None
5,2017,Other,Some
7,2017,Other,None
10,2017,Male,None
8,2017,Male,None
8,2017,Male,None
5,2017,Other,Some
10,2017,Female,None
4,2017,Male,Some
7,2017,Male,None
0,2017,Other,None
7,2017,Male,Some
9,2017,Male,None
10,2017,Male,None
9,2017,Male,None
8,2017,Male,None
8,2017,Male,None
7,2017,Male,None
9,2017,Female,None
10,2017,Male,None
7,2017,Female,Some
9,2017,Other,None
10,2017,Female,None
9,2017,Female,Some
8,2017,Male,Some
5,2017,Male,Some
5,2017,Female,None
8,2017,Female,Some
6,2017,Male,None
0,2017,Male,None
2,2017,Male,None
9,2017,Female,None
9,2017,Male,Some
6,2017,Male,None
10,2017,Female,None
5,2017,Female,None
3,2017,Female,None
3,2017,Female,None
5,2017,Male,None
7,2017,Male,None
6,2017,Male,None
7,2017,Male,None
5,2017,Male,None
3,2017,Male,None
10,2017,Female,None
0,2017,Female,All
0,2017,Male,None
3,2017,Male,None
7,2017,Male,None
5,2017,Male,Some
8,2017,Male,Some
8,2017,Male,None
9,2017,Female,None
6,2017,Female,Some
6,2017,Male,Some
8,2017,Female,Some
10,2017,Male,Some
10,2017,Female,None
2,2017,Male,Some
10,2017,Female,None
9,2017,Male,None
0,2017,Male,None
4,2017,Female,None
7,2017,Male,Some
9,2017,Other,None
7,2017,Male,Some
10,2017,Female,None
6,2017,Female,Some
5,2017,Female,Some
5,2017,Male,None
5,2017,Male,None
6,2017,Male,None
9,2017,Male,None
8,2017,Male,None
10,2017,Male,Some
9,2017,Male,Some
9,2017,Female,None
8,2017,Male,Some
6,2017,Male,None
9,2017,Male,Some
0,2017,Male,Some
10,2017,Male,None
8,2017,Male,None
7,2017,Male,Some
3,2017,Male,None
7,2017,Male,None
10,2017,Male,None
2,2017,Male,Some
5,2017,Male,Some
10,2017,Male,None
9,2017,Male,None
4,2017,Male,None
7,2017,Male,None
9,2017,Male,None
6,2017,Male,None
8,2017,Male,All
7,2017,Male,None
8,2017,Female,Some
10,2017,Male,Some
6,2017,Female,None
3,2017,Male,None
1,2017,Male,None
2,2017,Male,None
8,2017,Male,Some
5,2017,Male,Some
6,2017,Female,Some
7,2017,Male,None
5,2017,Female,None
5,2017,Female,Some
6,2017,Male,None
6,2017,Male,None
5,2017,Male,None
10,2017,Other,None
7,2017,Male,None
6,2017,Male,Some
5,2017,Female,All
7,2017,Female,None
7,2017,Female,Some
8,2017,Female,None
8,2017,Female,Some
6,2017,Female,Some
9,2017,Male,Some
10,2017,Female,None
3,2017,Male,None
2,2017,Female,None
8,2017,Male,All
6,2017,Male,None
8,2017,Male,None
8,2017,Male,None
9,2017,Male,None
7,2017,Male,None
9,2017,Male,None
10,2017,Male,None
3,2017,Male,None
4,2017,Male,None
7,2017,Male,None
9,2017,Male,None
10,2017,Male,None
10,2017,Male,None
9,2017,Male,Some
7,2017,Other,None
9,2017,Female,Some
7,2017,Other,None
5,2017,Male,None
6,2017,Male,None
7,2017,Female,None
5,2017,Male,None
5,2017,Female,None
9,2017,Female,None
10,2017,Male,All
3,2017,Male,Some
9,2017,Male,None
5,2017,Male,None
5,2017,Male,None
5,2017,Male,None
2,2017,Male,None
7,2017,Male,None
7,2017,Male,None
7,2017,Male,None
5,2017,Male,None
5,2017,Male,None
7,2017,Male,None
5,2017,Male,None
1,2017,Male,None
6,2017,Male,None
6,2017,Female,None
9,2017,Male,Some
6,2017,Male,None
3,2017,Female,None
9,2017,Male,None
0,2017,Male,Some
5,2017,Male,None
5,2017,Female,None
7,2017,Male,None
6,2017,Male,None
5,2017,Male,Some
6,2017,Male,Some
3,2017,Female,None
2,2017,Male,None
6,2017,Male,All
7,2017,Female,None
7,2017,Male,None
9,2017,Male,None
0,2017,Male,None
8,2017,Other,Some
5,2017,Male,None
9,2017,Male,Some
2,2017,Male,Some
8,2017,Male,Some
8,2017,Male,None
7,2017,Male,None
4,2017,Male,None
0,2017,Male,None
0,2017,Female,None
6,2017,Male,None
6,2017,Male,Some
9,2017,Male,None
10,2017,Female,None
1,2017,Male,None
10,2017,Other,None
2,2017,Male,Some
2,2017,Male,None
10,2017,Male,Some
10,2017,Male,Some
8,2017,Female,None
8,2017,Other,None
8,2017,Male,None
7,2017,Female,None
10,2017,Male,Some
10,2017,Female,None
9,2017,Male,All
1,2017,Female,None
9,2017,Male,None
8,2017,Male,None
6,2017,Male,None
9,2017,Male,None
1,2017,Male,Some
10,2017,Female,None
4,2017,Other,None
6,2017,Male,None
3,2017,Female,None
7,2017,Female,None
7,2017,Male,None
4,2017,Male,None
4,2017,Male,None
9,2017,Male,None
7,2017,Male,None
8,2017,Male,None
3,2017,Male,None
8,2017,Male,None
7,2017,Male,None
5,2017,Male,None
1,2017,Male,None
4,2017,Male,None
3,2017,Male,None
8,2017,Male,None
2,2017,Male,Some
5,2017,Male,None
7,2017,Male,None
8,2017,Male,None
4,2017,Female,Some
2,2017,Male,None
7,2017,Male,None
3,2017,Other,None
10,2017,Male,None
8,2017,Male,Some
5,2017,Male,None
4,2017,Male,None
6,2017,Male,Some
2,2017,Male,Some
0,2017,Female,None
3,2017,Male,None
4,2017,Male,None
10,2017,Male,None
0,2017,Male,None
5,2017,Female,Some
3,2017,Female,None
10,2017,Female,None
7,2017,Female,None
7,2017,Male,None
7,2017,Male,None
3,2017,Male,None
10,2017,Female,Some
7,2017,Male,None
10,2017,Male,Some
0,2017,Male,None
10,2017,Male,Some
0,2017,Male,None
10,2017,Male,None
0,2017,Female,None
10,2017,Male,All
10,2017,Male,None
10,2017,Male,Some
10,2017,Other,Some
7,2017,Female,None
8,2017,Female,Some
9,2017,Female,None
8,2017,Female,Some
1,2017,Female,None
10,2017,Male,None
7,2017,Female,None
10,2017,Male,Some
9,2017,Female,None
3,2017,Male,Some
7,2017,Female,None
1,2017,Female,None
10,2017,Other,None
7,2017,Male,None
10,2017,Male,Some
7,2017,Female,Some
5,2017,Male,None
8,2017,Female,None
8,2017,Male,Some
8,2017,Male,None
10,2017,Other,None
6,2017,Male,None
4,2017,Male,None
7,2017,Female,Some
8,2017,Male,None
5,2017,Other,None
0,2017,Female,Some
10,2017,Male,None
7,2017,Female,None
10,2017,Male,None
6,2017,Male,None
5,2017,Male,Some
4,2017,Male,None
4,2017,Male,None
4,2017,Male,None
7,2017,Male,None
10,2017,Male,None
5,2017,Female,Some
2,2017,Male,None
10,2017,Female,None
0,2017,Male,All
6,2017,Male,None
8,2017,Male,None
10,2017,Male,None
2,2017,Male,Some
7,2017,Female,None
3,2017,Female,None
8,2017,Female,None
4,2017,Male,None
3,2017,Male,None
8,2017,Female,Some
10,2017,Male,None
9,2017,Female,Some
10,2017,Male,None
3,2017,Male,None
5,2017,Male,None
6,2017,Other,All
7,2017,Male,Some
7,2017,Female,None
6,2017,Female,None
8,2017,Female,None
10,2017,Other,None
7,2017,Male,Some
3,2017,Female,None
8,2017,Male,None
5,2017,Male,Some
9,2017,Female,None
8,2017,Female,None
6,2017,Male,None
8,2017,Female,Some
7,2017,Female,None
1,2017,Female,None
9,2017,Male,Some
0,2017,Male,None
5,2017,Female,None
7,2017,Other,None
10,2017,Male,Some
5,2017,Female,Some
1,2017,Female,None
8,2017,Female,None
6,2017,Male,None
4,2017,Male,None
8,2017,Female,None
7,2017,Female,Some
6,2017,Male,Some
8,2017,Male,None
8,2017,Male,Some
5,2017,Female,Some
10,2017,Female,None
4,2017,Male,None
10,2017,Male,None
10,2017,Female,None
7,2017,Male,None
6,2017,Female,Some
7,2017,Male,None
8,2017,Male,None
7,2017,Male,None
5,2017,Male,None
10,2017,Male,None
9,2017,Male,None
5,2017,Male,Some
5,2017,Other,None
6,2017,Male,None
9,2017,Other,None
6,2017,Male,All
1,2017,Female,None
7,2017,Male,Some
5,2017,Male,None
6,2017,Female,None
9,2017,Male,None
6,2017,Other,None
9,2017,Female,None
10,2017,Male,None
9,2017,Male,None
7,2017,Male,None
8,2017,Female,None
2,2017,Male,None
5,2017,Male,All
8,2017,Male,None
4,2017,Male,None
5,2017,Male,None
7,2017,Male,Some
10,2017,Male,None
7,2017,Male,None
10,2017,Male,None
8,2017,Male,None
3,2017,Male,Some
1,2017,Male,None
10,2017,Other,Some
9,2017,Other,Some
8,2017,Male,None
2,2017,Male,None
6,2017,Male,None
8,2017,Female,None
7,2017,Male,Some
5,2017,Male,All
9,2017,Other,None
2,2017,Male,None
9,2017,Male,All
10,2017,Other,Some
5,2017,Male,Some
9,2017,Other,None
10,2017,Male,None
8,2017,Female,None
7,2017,Male,None
1,2017,Male,None
6,2017,Male,None
3,2017,Female,None
6,2017,Male,None
10,2017,Female,Some
6,2017,Male,None
5,2017,Other,None
8,2017,Male,None
3,2017,Female,None
8,2017,Male,None
5,2017,Male,None
9,2017,Male,None
8,2017,Female,None
8,2017,Male,None
10,2017,Other,None
8,2017,Male,None
3,2017,Female,Some
10,2017,Male,None
4,2017,Male,All
10,2017,Female,None
7,2017,Male,None
10,2017,Male,None
5,2017,Male,Some
5,2017,Male,None
7,2017,Male,All
9,2017,Male,None
5,2017,Male,None
10,2017,Female,None
10,2017,Female,Some
5,2017,Other,None
10,2017,Male,None
3,2017,Male,None
5,2017,Female,None
8,2017,Male,None
5,2017,Other,None
10,2017,Male,None
6,2017,Female,None
9,2017,Male,Some
7,2017,Male,None
9,2017,Male,All
2,2017,Male,Some
9,2017,Male,None
9,2017,Male,None
6,2017,Female,Some
2,2017,Male,None
3,2017,Female,None
5,2017,Female,Some
6,2017,Male,Some
7,2017,Male,None
5,2017,Male,All
7,2017,Male,Some
2,2017,Male,Some
6,2017,Female,None
0,2017,Male,None
7,2017,Male,None
10,2017,Male,None
7,2017,Male,None
7,2017,Male,None
7,2017,Male,None
10,2017,Male,Some
7,2017,Male,None
2,2017,Male,None
3,2017,Male,None
2,2017,Male,None
6,2017,Female,Some
3,2017,Male,None
8,2017,Female,Some
8,2017,Male,None
5,2017,Female,Some
10,2017,Female,None
4,2017,Other,None
2,2017,Female,Some
7,2017,Female,None
7,2017,Female,None
8,2017,Male,None
0,2017,Female,None
6,2017,Male,None
9,2017,Male,None
10,2017,Male,None
4,2017,Male,Some
7,2017,Male,None
7,2017,Female,None
9,2017,Male,None
8,2017,Male,None
5,2017,Male,Some
7,2017,Female,Some
10,2017,Other,None
7,2017,Male,Some
10,2017,Male,None
10,2017,Male,None
8,2017,Male,None
7,2017,Male,Some
6,2017,Male,Some
8,2017,Male,None
10,2017,Male,Some
8,2017,Male,Some
2,2017,Male,None
10,2017,Male,None
8,2017,Male,None
10,2017,Female,None
8,2017,Female,Some
3,2017,Other,Some
8,2017,Female,Some
3,2017,Male,None
7,2017,Male,None
10,2017,Female,None
2,2017,Female,Some
10,2017,Male,None
10,2017,Other,None
7,2017,Male,Some
7,2017,Male,Some
5,2017,Male,None
10,2017,Female,None
0,2017,Male,None
5,2017,Male,Some
6,2017,Male,Some
4,2017,Female,All
5,2017,Female,None
7,2017,Male,None
9,2017,Other,Some
8,2017,Female,None
9,2017,Female,None
10,2017,Female,Some
4,2017,Male,None
6,2017,Male,All
8,2017,Male,None
1,2017,Male,All
9,2017,Female,None
7,2017,Female,None
2,2017,Male,Some
9,2017,Male,None
7,2017,Male,None
8,2017,Male,None
8,2017,Male,None
10,2017,Male,Some
1,2017,Other,None
2,2017,Male,None
8,2017,Other,None
3,2018,Female,None
3,2018,Male,None
2,2018,Male,Some
9,2018,Male,None
7,2018,Other,None
8,2018,Male,Some
6,2018,Other,None
8,2018,Male,None
2,2018,Male,None
5,2018,Male,Some
8,2018,Male,None
7,2018,Male,None
4,2018,Female,None
2,2018,Male,None
8,2018,Female,None
9,2018,Male,None
8,2018,Male,None
8,2018,Male,None
7,2018,Male,None
10,2018,Male,None
8,2018,Male,Some
8,2018,Male,All
9,2018,Male,None
6,2018,Male,Some
6,2018,Male,None
7,2018,Male,None
5,2018,Male,None
5,2018,Male,None
9,2018,Male,None
0,2018,Male,None
5,2018,Male,None
7,2018,Male,None
5,2018,Male,None
2,2018,Male,Some
2,2018,Male,Some
8,2018,Male,None
8,2018,Female,Some
8,2018,Male,None
6,2018,Female,None
8,2018,Male,None
9,2018,Male,None
10,2018,Male,None
3,2018,Male,None
4,2018,Other,None
0,2018,Male,None
8,2018,Male,None
7,2018,Male,None
7,2018,Male,None
10,2018,Male,None
8,2018,Female,None
0,2018,Male,None
10,2018,Male,All
5,2018,Female,None
10,2018,Male,None
7,2018,Female,None
5,2018,Male,None
10,2018,Male,None
5,2018,Female,None
9,2018,Male,Some
8,2018,Male,All
7,2018,Male,None
3,2018,Male,None
5,2018,Male,None
7,2018,Male,Some
5,2018,Male,None
5,2018,Female,None
4,2018,Male,Some
10,2018,Male,None
6,2018,Male,None
1,2018,Male,None
8,2018,Male,None
6,2018,Male,None
9,2018,Male,None
2,2018,Female,None
7,2018,Male,None
2,2018,Female,None
10,2018,Male,None
10,2018,Female,None
8,2018,Female,All
8,2018,Male,None
1,2018,Male,Some
10,2018,Female,None
2,2018,Male,None
0,2018,Male,None
10,2018,Male,Some
8,2018,Female,None
5,2018,Male,None
10,2018,Male,Some
4,2018,Male,None
10,2018,Male,All
7,2018,Male,None
8,2018,Female,Some
5,2018,Male,Some
2,2018,Female,None
10,2018,Female,None
8,2018,Male,Some
10,2018,Male,Some
8,2018,Male,None
10,2018,Female,None
7,2018,Female,None
10,2018,Female,None
2,2018,Male,None
1,2018,Female,None
10,2018,Female,None
8,2018,Male,None
10,2018,Female,None
10,2018,Female,None
9,2018,Male,None
4,2018,Male,None
9,2018,Male,None
9,2018,Male,Some
8,2018,Male,None
4,2018,Male,None
9,2018,Male,Some
7,2018,Male,None
9,2018,Male,Some
10,2018,Male,Some
2,2018,Female,None
10,2018,Female,Some
8,2018,Female,Some
6,2018,Female,All
5,2018,Female,None
9,2018,Male,None
8,2018,Female,All
5,2018,Female,Some
10,2018,Male,None
2,2018,Female,None
8,2018,Male,Some
7,2018,Female,None
7,2018,Male,None
3,2018,Male,None
10,2018,Male,Some
9,2018,Female,Some
7,2018,Male,None
5,2018,Female,None
5,2018,Male,None
6,2018,Male,Some
9,2018,Female,None
10,2018,Other,Some
5,2018,Female,None
10,2018,Female,None
5,2018,Female,None
10,2018,Male,None
8,2018,Male,Some
8,2018,Other,Some
7,2018,Male,None
3,2018,Female,None
9,2018,Male,None
9,2018,Female,None
8,2018,Male,Some
6,2018,Male,None
6,2018,Male,Some
10,2018,Male,Some
1,2018,Other,None
7,2018,Female,None
7,2018,Male,Some
8,2018,Other,None
8,2018,Male,None
5,2018,Male,None
9,2018,Female,Some
3,2018,Male,Some
6,2018,Male,None
9,2018,Male,None
8,2018,Female,None
9,2018,Male,Some
4,2018,Male,Some
0,2018,Male,None
1,2018,Male,None
9,2018,Male,None
3,2018,Male,Some
4,2018,Female,Some
10,2018,Male,None
9,2018,Male,None
7,2018,Male,None
0,2018,Male,None
6,2018,Male,Some
8,2018,Male,Some
7,2018,Male,None
9,2018,Other,None
7,2018,Male,None
4,2018,Other,None
6,2018,Male,Some
7,2018,Male,None
10,2018,Male,All
7,2018,Male,None
10,2018,Other,None
7,2018,Female,All
3,2018,Male,None
10,2018,Male,None
8,2018,Male,None
4,2018,Male,None
5,2018,Male,None
7,2018,Female,None
10,2018,Male,None
9,2018,Male,None
7,2018,Other,None
10,2018,Female,None
4,2018,Other,None
5,2018,Female,None
5,2018,Other,Some
8,2018,Male,None
4,2018,Male,None
2,2018,Male,Some
8,2018,Female,None
9,2018,Other,None
5,2018,Male,None
10,2018,Male,Some
7,2018,Male,None
5,2018,Other,All
8,2018,Male,None
6,2018,Other,None
8,2018,Male,None
5,2018,Male,None
4,2018,Male,Some
8,2018,Male,None
8,2018,Male,None
10,2018,Male,None
10,2018,Male,Some
8,2018,Female,None
8,2018,Other,None
0,2018,Male,None
5,2018,Male,None
7,2018,Female,Some
6,2018,Male,None
4,2018,Male,None
10,2018,Other,None
4,2018,Female,Some
8,2018,Male,Some
8,2018,Female,All
8,2018,Female,None
5,2018,Female,None
7,2018,Male,All
8,2018,Other,Some
5,2018,Male,None
6,2018,Female,None
10,2018,Male,Some
9,2018,Male,None
6,2018,Female,None
9,2018,Female,None
6,2018,Male,Some
6,2018,Female,Some
8,2018,Female,Some
6,2018,Female,None
9,2018,Male,None
9,2018,Male,Some
3,2018,Male,All
10,2018,Female,All
9,2018,Male,None
9,2018,Male,None
10,2018,Male,None
7,2018,Male,None
9,2018,Female,None
5,2018,Male,None
8,2018,Other,None
5,2018,Female,Some
8,2018,Female,None
10,2018,Other,None
8,2018,Female,None
5,2018,Male,None
10,2018,Female,None
10,2018,Female,None
10,2018,Male,All
10,2018,Female,None
2,2018,Female,None
